Provincia,Distrito,Posto,Localidade,Povoado,CodigoEscola,NomeEscola,TemAgua,FonteAgua,QualidadeAgua,TemEnergia ,TipoEnergia,TemLatrina,TotalLatrina,EstadoLatrina,TemUrino,TotalUrino,UrinoFuncional,EstadoUrino,TemCasaBanho,TotalCB,CBFunci,Longitude,Latitude
Cabo Delgado,Nangade,N'Tamba,Itanda,Ntoli,10708,Escola Primária Completa de Ntoli,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.60230556,-11.38972222
Cabo Delgado,Nangade,Nangade,Nangade sede,Chacamba,10780,Escola Primária Completa de Chacamba,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.77960833,-10.99915
Cabo Delgado,Nangade,Nangade,Nangade sede,Josina Machel,10950,Escola Primária  Completa Josina Machel,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.67369444,-11.08716667
Cabo Delgado,Ancuabe,Metoro,Metoro sede,Mecocora,10008,Escola Primária Completa de Mecocora,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,1,Mau,Não,0,Não,Nenhum,Não,0,Não,39.74361111,-13.10644444
Cabo Delgado,Ibo,Quirimba,Quirimba sede,Quirimba,10134,Escola Primária Completa de Quirimba,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,6,Mau,Não,0,Não,Nenhum,Sim,2,Não,40.59784722,-12.411825
Cabo Delgado,Ibo,Ibo sede,Vila do Ibo,Vila do Ibo,10135,Escola Primária Completa Eduardo Mondlane,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,6,Mau,Não,0,Não,Nenhum,Sim,2,Não,40.58377778,-12.34344444
Cabo Delgado,Ibo,Ibo sede,Vila do Ibo,Vila do Ibo,10136,Escola Primária de Quirambo,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,40.57097222,-12.35913889
Cabo Delgado,Mocímboa da Praia,Mocímboa da Praia,Quelimane,Quelimane,10243,Escola Primária Completa de Quelimane,Sim,Furo com bomba,Potável,Sim,Painel Solar,Sim,2,Mau,Não,0,Não,Nenhum,Não,0,Não,40.27547222,-11.23052778
Cabo Delgado,Montepuez,Cidade de Montepuez,Cidade de Montepuez,Cidade de Montepuez,10277,Escola Primária Completa de Mirige,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,4,Mau,Não,0,Não,Nenhum,Não,0,Não,38.99019444,-13.12616667
Cabo Delgado,Ibo,Ibo sede,Matemo,Muanacombo,10899,Escola Primária de Muanacombo,Sim,Rede pública,Potável,Não,Nenhum,Sim,4,Bom,Não,0,Não,Nenhum,Não,0,Não,40.60495556,-12.24262222
